orderid,latitude,longitude,estimateddeliverytime
1552679,37.6970733,-122.4859032,259
1552697,37.782185200000001,-122.4545442,54
1552675,37.780840499999996,-122.39582,228
1552934,37.7831306,-122.38896219999999,209
1552983,37.323785999999998,-121.87890400000001,345
1552998,37.773665899999997,-122.27845019999999,0
1553031,37.754258999999998,-122.398962,18
1552980,37.378557999999998,-122.12542000000001,105
1553119,36.963017299999997,-121.88197390000001,2327
1553228,37.795776199999999,-122.21607590000001,126
1553155,37.3358189,-121.8877351,29
1553212,37.801293999999999,-122.43023700000001,141
1553370,33.849923500000003,-118.3969925,2327
1553357,37.803088000000002,-122.42966199999999,111
1553156,36.9669782,-121.8933159,319
1553374,37.666119399999999,-122.078338,263
1553407,37.397316799999999,-122.0806149,183
1553438,37.667270600000002,-122.41693170000001,90
1553415,37.3612684,-121.95822320000001,101
1553348,37.779084500000003,-122.4374085,120
1553617,37.774158999999997,-122.43160399999999,152
1553605,34.0077341,-118.4873271,5
1553695,37.6365968,-122.4169045,209
1553572,37.372917999999999,-122.2072838,3
1553520,37.330380099999999,-121.8439018,4
1553484,37.784051900000001,-122.4238826,90
1553682,37.532090400000001,-122.2846356,119
1553639,37.868105900000003,-122.2907543,0
1553782,37.800892599999997,-122.409108,663
1553759,37.351948,-121.942869,229
1553640,37.656863899999998,-122.4714656,292
1553697,37.738816900000003,-122.4507002,173
1553845,37.480355000000003,-122.215633,158
1553953,37.549942000000001,-122.3232855,265
1554053,37.657780600000002,-122.0793417,235
1553903,37.769637299999999,-122.4039855,37
1554075,37.784232000000003,-122.45765,217
1554097,37.7841928,-122.44474030000001,153
1554268,37.522762299999997,-122.2772186,179
1554160,37.355195799999997,-121.8265722,145
1554354,32.781864300000002,-117.08278110000001,135
1554311,36.973770500000001,-122.0065664,208
1554528,37.790164699999998,-122.41032199999999,57
1554531,37.769382100000001,-122.40383079999999,36
1554532,37.7831537,-122.4384639,112
1554640,37.371876999999998,-122.02122,37
1554582,37.353979699999996,-121.9428994,117
1554815,33.8650764,-118.26859810000001,2264
1554710,37.665399499999999,-122.484059,267
1554857,37.752271999999998,-122.436091,596
1554511,37.7523561,-122.5002334,113
1554809,37.461133799999999,-122.23143450000001,136
1554839,33.8269406,-118.3778495,110
1554899,37.698663699999997,-122.48355859999999,9
1554852,37.3950344,-121.9431222,269
1554962,37.501519399999999,-122.2931887,226
1555025,37.548613000000003,-122.313552,194
1555143,37.766678300000002,-122.18217629999999,161
1555058,37.7898414,-122.41357410000001,161
1555138,33.832330900000002,-118.2214271,1
1555261,37.773274999999998,-122.50655999999999,16
1555266,37.435437999999998,-122.1793196,147
1555269,37.383621400000003,-121.9749261,331
1555428,37.804397999999999,-122.4095564,194
1555525,37.356406499999999,-122.09126089999999,8
1555631,37.809398799999997,-122.2717174,43
1555644,37.804565199999999,-122.24907779999999,92
1555668,32.715310199999998,-117.08340339999999,107
1555683,37.407336999999998,-122.12212030000001,362
1555770,37.740201900000002,-122.46747569999999,201
1555728,37.300744000000002,-121.86899289999999,73
1555793,37.831946199999997,-122.280456,179
1555813,37.649408399999999,-122.429644,6
1555860,37.679009000000001,-122.11158500000001,121
1555890,32.801831,-117.21357829999999,120
1555964,32.725096200000003,-117.1167705,134
1555978,37.460954399999999,-122.144379,142
1556002,37.441406999999998,-122.16075669999999,252
1556174,37.465873000000002,-122.2541739,46
1556117,37.600338399999998,-122.4090643,214
1556328,32.805198699999998,-117.23317369999999,84
1556298,37.753931000000001,-122.1676073,80
1556265,37.4045232,-122.07871660000001,67
1556347,32.651445199999998,-117.0899404,89
1552629,37.782746099999997,-122.4873461,130
1552647,37.763149300000002,-122.5052831,85
1552654,37.797639699999998,-122.2547172,100
1552812,37.380901199999997,-121.9759098,1154
1552833,37.810688399999997,-122.2450542,229
1552930,33.868279600000001,-118.3670327,146
1553011,37.779400000000003,-122.46281399999999,0
1553040,37.802673300000002,-122.2169543,198
1553062,37.777374999999999,-122.46601800000001,89
1553029,37.785037799999998,-122.41710449999999,248
