orderid,deliveredat,totalprice
1552553,2017-08-08T00:02:29.980+00:00,176.11
1552559,2017-08-08T00:09:06.077+00:00,71.03
1552499,2017-08-08T00:15:03.847+00:00,61.95
1552617,2017-08-08T00:16:40.820+00:00,62.4
1552632,2017-08-08T00:31:27.957+00:00,64.16
1552749,2017-08-08T00:31:53.977+00:00,96.4
1552758,2017-08-08T00:45:28.393+00:00,52
1552814,2017-08-08T00:53:28.553+00:00,61.52
1552884,2017-08-08T01:09:39.220+00:00,34.59
1552932,2017-08-08T01:11:33.133+00:00,137.6
1553017,2017-08-08T01:25:40.567+00:00,65.94
1553214,2017-08-08T01:51:38.480+00:00,51.24
1553304,2017-08-08T01:56:15.427+00:00,60.37
1553234,2017-08-08T01:56:23.427+00:00,94.59
1553204,2017-08-08T02:01:14.667+00:00,126.73
1553251,2017-08-08T02:06:34.497+00:00,43.54
1553404,2017-08-08T02:08:34.217+00:00,44.98
1553364,2017-08-08T02:11:05.977+00:00,42.28
1553380,2017-08-08T02:27:53.177+00:00,182.9
1553696,2017-08-08T02:38:10.443+00:00,43.84
1553509,2017-08-08T02:37:20.067+00:00,72.24
1553677,2017-08-08T02:40:31.157+00:00,44.77
1553746,2017-08-08T02:44:01.293+00:00,34.6
1553702,2017-08-08T02:53:18.780+00:00,34.74
1553849,2017-08-08T02:53:10.150+00:00,61.08
1553808,2017-08-08T02:59:06.147+00:00,89.4
1553368,2017-08-08T02:10:05.343+00:00,144.42
1553890,2017-08-08T03:15:30.733+00:00,59.16
1553879,2017-08-08T03:18:04.820+00:00,57.05
1553836,2017-08-08T03:24:34.883+00:00,39.28
1554013,2017-08-08T03:30:49.107+00:00,32.24
1554175,2017-08-08T03:39:03.830+00:00,73.9
1554123,2017-08-08T03:46:48.610+00:00,50.31
1554257,2017-08-08T03:47:25.270+00:00,60.5
1554136,2017-08-08T03:57:08.227+00:00,94.23
1554282,2017-08-08T04:03:49.847+00:00,51.76
1554232,2017-08-08T03:57:25.560+00:00,117.22
1554415,2017-08-08T04:19:09.573+00:00,47.61
1554279,2017-08-08T04:24:49.130+00:00,47.03
1554644,2017-08-08T04:37:04.570+00:00,45.96
1554748,2017-08-08T04:49:36.640+00:00,48.13
1554757,2017-08-08T04:59:18.677+00:00,42.38
1554816,2017-08-08T05:01:16.640+00:00,78.34
1554838,2017-08-08T05:04:45.813+00:00,46.13
1554854,2017-08-08T05:19:13.590+00:00,73.17
1554944,2017-08-08T05:37:44.820+00:00,46.19
1554949,2017-08-08T05:47:24.623+00:00,102.78
1554970,2017-08-08T06:18:41.827+00:00,81.09
1555111,2017-08-08T06:34:41.113+00:00,44.32
1555139,2017-08-08T06:52:29.793+00:00,62.4
1555176,2017-08-08T07:05:39.350+00:00,40.22
1554422,2017-08-08T04:23:04.453+00:00,41.75
1555199,2017-08-08T17:06:19.123+00:00,34.37
1555217,2017-08-08T17:21:14.553+00:00,86.22
1555210,2017-08-08T17:24:21.727+00:00,35.02
1555280,2017-08-08T18:00:27.313+00:00,39.21
1555311,2017-08-08T18:23:08.513+00:00,61.75
1555342,2017-08-08T18:39:25.763+00:00,99.19
1555466,2017-08-08T19:14:07.033+00:00,31.78
1555478,2017-08-08T19:28:43.157+00:00,95.88
1555533,2017-08-08T19:42:31.647+00:00,55.71
1555695,2017-08-08T20:52:26.877+00:00,181.7
1555787,2017-08-08T21:25:18.467+00:00,113.91
1555773,2017-08-08T21:27:41.017+00:00,49.31
1555815,2017-08-08T21:31:24.487+00:00,47.88
1555808,2017-08-08T21:39:19.110+00:00,55.48
1555820,2017-08-08T21:40:53.637+00:00,123.54
1555833,2017-08-08T21:46:56.760+00:00,103.44
1555912,2017-08-08T22:18:52.650+00:00,58.66
1555968,2017-08-08T22:28:21.217+00:00,107.71
1555935,2017-08-08T22:40:11.177+00:00,139.68
1556068,2017-08-08T22:49:55.397+00:00,47.29
1556073,2017-08-08T23:16:50.333+00:00,55.06
1556125,2017-08-08T23:20:29.063+00:00,42.47
1556116,2017-08-08T23:23:41.323+00:00,48.42
1556173,2017-08-08T23:34:04.400+00:00,113.77
1556260,2017-08-08T23:44:29.243+00:00,73.03
1556238,2017-08-08T23:50:07.877+00:00,33.66
1552552,2017-08-08T00:06:48.400+00:00,52.03
1552580,2017-08-08T00:06:36.947+00:00,97.81
1552457,2017-08-08T00:11:18.527+00:00,58.08
1552548,2017-08-08T00:14:28.700+00:00,66.83
1552698,2017-08-08T00:36:06.317+00:00,43.96
